Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Calendar,2013,2189,847.97,110.24,0,958.21,0,224.27,74.19,298.46,1256.67
Fiscal,2014,3266,69687.29,0,6467.15,76154.44,15474.61,7742.44,1269.36,24486.41,100640.85
Fiscal,2014,29998,19577.87,272.28,0,19850.15,0,0,1568.15,1568.15,21418.3
Calendar,2014,48529,12212.59,75.15,0,12287.74,0,3031.5,951.32,3982.82,16270.56
Fiscal,2013,48619,48504.4,0,5967.02,54471.42,9330.62,11718.56,4470.5,25519.68,79991.1
Fiscal,2016,9643,88818.72,23349.94,11102.31,123270.97,17636.06,10325.36,2105.63,30067.05,153338.02
Fiscal,2014,40856,15057.75,0,464.7,15522.45,158.33,4770.11,1201.75,6130.19,21652.64
Fiscal,2013,10356,67132.03,0,624,67756.03,12338.31,12801.79,5588.76,30728.86,98484.89
Calendar,2014,31051,115450.06,0,0,115450.06,24659.11,13054.94,9481.19,47195.24,162645.3
Calendar,2015,7647,75927.05,719.28,624,77270.33,15777.43,12424.5,6703.76,34905.69,112176.02
Fiscal,2013,27298,80854.23,0,0,80854.23,14723.51,11552.38,6233.56,32509.45,113363.68
Calendar,2013,48137,117380.47,0,17674.95,135055.42,27328.58,11534.92,5478.14,44341.64,179397.06
Calendar,2014,22748,86736.32,2870.2,18932.45,108538.97,22162.64,12018.95,1807.93,35989.52,144528.49
Fiscal,2016,27175,85509.52,0,1380,86889.52,16170.12,13068.8,6524.59,35763.51,122653.03
Fiscal,2014,11547,3789,0,0,3789,647.47,0,64.41,711.88,4500.88
Calendar,2013,30792,37311.15,41.42,1672.61,39025.18,0,5926.84,3021.33,8948.17,47973.35
Calendar,2013,29816,68066.45,14844.73,7980.03,90891.21,14258.39,12856.94,7169.8,34285.13,125176.34
Fiscal,2013,43004,58592.58,0,5991.1,64583.68,11576.76,11780.12,5411.88,28768.76,93352.44
Calendar,2015,29646,1517.79,0,0,1517.79,0,361.38,117.51,478.89,1996.68
Fiscal,2013,15536,70287.49,2086.39,5682.48,78056.36,13735.33,12851.04,1664.67,28251.04,106307.4
Calendar,2013,45942,81848.53,2183.25,567.92,84599.7,16150.81,12918.26,6965.51,36034.58,120634.28
Fiscal,2016,48508,75072.15,19775.07,2330.59,97177.81,14404.64,12850.58,7727.39,34982.61,132160.42
Calendar,2015,52562,77785.5,0,4038.86,81824.36,16563.44,9318.38,6658.54,32540.36,114364.72
Calendar,2015,48327,4324.4,0,159.32,4483.72,0,1815.89,355.71,2171.6,6655.32
Calendar,2015,16514,97282.02,47460.14,12610.97,157353.13,21061.29,11361.26,9580,42002.55,199355.68
Calendar,2015,19678,93837.77,2838.2,5482.66,102158.63,20066.21,12445.4,8149.51,40661.12,142819.75
Fiscal,2015,45785,35632.17,2486.25,1394.44,39512.86,8123.66,3595.1,3156.82,14875.58,54388.44
Fiscal,2015,25649,55943.3,0,6772.14,62715.44,13747.31,12500.56,4924.7,31172.57,93888.01
Calendar,2015,19458,26344.22,1053.46,783.37,28181.05,5540.22,5122.96,2138.51,12801.69,40982.74
Calendar,2015,44511,81942,20607.29,16028.62,118577.91,19068.98,12424.5,9255.51,40748.99,159326.9
Fiscal,2013,47652,1858.8,0,2034.9,3893.7,347.89,0,307.6,655.49,4549.19
